rodada,position,day,early,normal,afternoon,R1,R2,R3,R4,list_rivalry_1,list_rivalry_2,list_rivalry_3,publico
1,,1,0,1,0,,,,,0,0,1,7863
3,12,0,0,1,0,0,3,,,0,0,1,2705
5,5,0,0,1,0,3,1,0,3,0,0,1,6164
6,4,1,0,1,0,3,3,1,0,1,0,0,54655
9,7,1,0,1,0,3,0,0,3,0,1,0,27233
11,4,1,0,1,0,3,1,3,0,1,0,0,25941
12,6,0,1,0,0,0,3,1,3,0,1,0,21000
14,8,1,1,0,0,0,3,0,3,1,0,0,23390
16,6,0,1,0,0,1,3,0,3,0,0,1,16523
19,6,1,0,1,0,1,3,3,1,0,0,1,19036
21,6,1,1,0,0,0,3,1,3,0,1,0,22552
23,2,0,0,1,0,3,3,0,3,0,0,1,16358
26,2,1,1,0,0,1,3,3,3,0,0,1,29605
27,2,1,0,1,0,3,1,3,3,0,1,0,13780
29,2,1,0,1,0,1,3,3,1,0,0,1,21773
32,2,1,0,1,0,0,3,3,1,1,0,0,54250
34,2,1,0,1,0,1,1,0,3,1,0,0,49382
36,3,1,0,1,0,3,1,1,1,0,0,1,40802
37,3,1,0,1,0,1,3,1,1,0,1,0,37615
1,,1,0,1,0,,,,,1,0,0,50220
4,10,1,1,0,0,1,3,1,,1,0,0,10577
7,14,0,0,1,0,1,0,1,1,0,0,1,13981
9,8,0,0,1,0,1,3,1,0,0,0,1,14632
11,3,1,0,1,0,3,3,1,3,0,1,0,17302
13,2,0,1,0,0,3,3,3,3,0,1,0,18204
15,3,0,0,1,0,1,0,3,3,1,0,0,15103
16,4,1,0,1,0,1,1,0,3,0,0,1,13014
19,5,1,1,0,0,0,1,3,1,0,0,1,18133
21,5,1,0,1,0,0,0,0,1,0,0,1,7082
22,5,1,0,1,0,3,0,0,0,0,0,1,10199
24,5,1,0,1,0,0,3,3,0,0,0,1,9029
25,5,1,0,1,0,3,0,3,3,0,0,1,9584
27,7,0,1,0,0,0,1,3,0,1,0,0,38629
29,6,0,0,1,0,3,1,0,1,0,0,1,8282
31,7,1,0,1,0,0,3,3,1,1,0,0,24800
33,7,0,0,1,0,0,1,0,3,0,1,0,7111
36,7,1,0,1,0,0,0,3,0,1,0,0,13491
37,6,1,0,1,0,3,0,0,3,0,1,0,15456
2,9,1,0,1,0,1,,,,0,0,1,52106
4,1,1,0,1,0,3,3,1,,0,1,0,60182
6,1,1,0,1,0,0,3,3,3,1,0,0,35208
8,1,0,1,0,0,3,1,0,3,0,0,1,55382
9,1,1,0,1,0,3,3,1,0,1,0,0,49222
11,1,1,0,1,0,3,3,3,3,0,0,1,59488
13,1,0,0,1,0,1,3,3,3,0,1,0,51777
14,1,1,0,1,0,0,1,3,3,1,0,0,42182
16,1,1,0,1,0,1,3,0,1,0,0,1,58000
18,2,1,0,1,0,0,3,1,3,0,1,0,55276
20,3,0,1,0,0,0,3,0,3,0,0,1,51878
22,3,1,1,0,0,1,3,0,3,0,0,1,61277
24,4,1,0,0,1,0,0,1,3,0,0,1,28983
26,4,1,0,1,0,1,3,0,0,1,0,0,39462
29,3,1,0,1,0,3,1,3,1,1,0,0,52924
31,2,1,0,1,0,3,3,3,1,1,0,0,65102
34,3,0,1,0,0,0,1,1,3,0,1,0,46067
36,2,0,0,1,0,3,3,0,1,0,1,0,36013
38,2,1,0,1,0,3,3,3,3,0,0,1,66046
1,,1,0,0,1,,,,,0,1,0,29459
4,9,1,1,0,0,1,0,3,,0,0,1,61023
6,9,1,0,1,0,0,3,1,0,0,0,1,52667
7,6,1,0,1,0,3,0,3,1,0,0,1,37658
10,3,1,1,0,0,3,1,3,3,0,0,1,65154
12,3,1,1,0,0,1,3,3,1,1,0,0,45622
14,3,1,0,1,0,0,3,1,3,0,1,0,57644
17,1,1,0,1,0,3,3,3,0,1,0,0,65969
19,1,1,0,1,0,3,3,3,3,0,1,0,68243
21,1,0,0,1,0,3,3,3,3,0,1,0,64548
22,1,1,0,1,0,3,3,3,3,0,1,0,67051
24,1,0,1,0,0,3,1,3,3,1,0,0,63385
27,1,1,0,1,0,3,3,3,3,1,0,0,52279
28,1,1,0,1,0,3,3,3,3,0,0,1,69846
30,1,1,0,1,0,1,3,3,3,1,0,0,64985
32,1,1,0,1,0,3,3,1,3,0,0,1,65930
34,1,0,0,1,0,3,3,3,3,1,0,0,52757
35,1,0,0,1,0,1,3,3,3,0,0,1,67539
37,1,0,1,0,0,3,3,1,3,0,0,1,69090
